hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
64,336,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.546128660440445,288020.875,536.6757633804605,0.7124204745987025,0.8745400117118923,1.0665379762649536,0.02719099770290302,0.7499310645375002,-8.119988441467285,-30.77297282615118,-2790.4131010774736,,66.00622377897564
64,336,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5430440008640289,289978.34375,538.4963730147122,0.6593633385416354,0.7839004156626141,1.0301731824874878,0.012330394582587037,0.7384204063056785,-22.78885245323181,2.430099264387086,-2783.3299600124465,,65.93890441091436
128,336,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.5416620075702667,290855.34375,539.3100627190262,0.581682035739687,0.6760700969705764,0.9568044543266296,-0.017652042175990836,0.7388611825480162,-31.55672550201416,2.603858392328681,-2788.843526938199,,68.38414041619552
128,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.5329472124576569,296385.65625,544.4131301227038,0.5834454019156148,0.6892685399922508,0.9288698434829712,-0.02906761277140257,0.731850426477014,-28.009033203125,-2.471912463586518,-2745.5309216230876,,69.97066798963046
128,168,1,16,256,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5325744152069092,296622.21875,544.6303505589824,0.6954692161183096,0.8524762806597245,1.0528461933135986,0.02159582233443927,0.7388811948252861,-14.610864222049713,-4.210397978088594,-2791.4070585750023,,69.54730184454667
128,168,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.528348833322525,299303.71875,547.086573359281,0.6995477978381126,0.914861530203251,1.1396570205688477,0.05707137872019802,0.7479704712728523,-4.865089803934097,-0.7215552074238377,-2804.5924364610196,,67.72675263254267
256,336,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.5213913321495056,303718.875,551.1069542293945,0.5552628830309161,0.6786011100017615,0.8609560132026672,-0.056820874781666225,0.7258456156590307,-31.788280606269836,1.7800828638531325,-2739.724134051844,,68.59968586971885
64,168,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.5174083709716797,306246.40625,553.3953435384146,0.556536889473993,0.6630053530994566,0.9220958352088928,-0.03183583644448831,0.7224660751079618,-33.37210416793823,-19.207522100388935,-2807.2626227300048,,73.70766087582237
256,336,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.5169780552387238,306519.46875,553.6420041416656,0.6858302904042746,0.8429425734948828,0.9888161420822144,-0.004570327323869375,0.7281351576074484,-13.212867081165314,9.823295763837802,-2727.6973120061552,,64.8653883683054
128,336,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.5103642344474792,310716.53125,557.4195289456586,0.6035404993456592,0.7321594573454122,0.9346243739128113,-0.026716001780918656,0.7151007074714062,-25.234296917915344,9.559033878041976,-2747.8002774982906,,67.64971080579257
64,336,1,48,64,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.508588582277298,311843.34375,558.4293543054483,0.5759561220589278,0.7085591437921722,0.8837486505508423,-0.04750656447505538,0.7147613954889678,-27.153772115707397,-5.21487066534635,-2710.591500864351,,70.56002867849249
