hidden_size,seq_length,num_layers,epochs,batch_size,learning_rate,output_dropout,NSE,MSE,RMSE,KGE,Alpha-NSE,Beta-KGE,Beta-NSE,Pearson-r,FHV,FMS,FLV,Peak-Timing,Peak-MAPE
256,120,1,48,128,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7323516607284546,6625825.0,2574.067792425056,0.8319592749438617,0.9137457033207371,1.0233228206634521,0.011256892400532844,0.8576837057183584,-12.580722570419312,4.6703842622934495,-1770.2972502680034,1.0,47.51516342163086
64,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7320674657821655,6632860.5,2575.4340410889968,0.8317057383067961,0.911828009962074,1.0143163204193115,0.006909819834372374,0.8573686511973468,-15.962231159210205,80.97713235740605,-126.42040531521081,1.0,45.795536041259766
256,120,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7273660600185394,6749247.5,2597.9313886244186,0.8273644523743747,0.9074964430276964,0.9910809397697449,-0.00430482462639769,0.8545126307335225,-14.418862760066986,23.131481394925522,-882.478107086961,1.2,47.679548263549805
256,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7272487282752991,6752152.0,2598.4903309421798,0.822808959854009,0.9127927939244617,0.9470763802528381,-0.025543860034783646,0.855118467742177,-10.969871282577515,63.94494813933155,-554.1080472647811,1.2,49.74188804626465
128,90,1,32,128,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7254930138587952,6795616.0,2606.8402329256774,0.8476215341095779,0.96350621981922,0.9569334387779236,-0.020786280774017587,0.8584631773009561,-6.200955808162689,104.69863136688207,-83.98484146346725,1.2,40.74260711669922
64,90,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.723992794752121,6832755.0,2613.9539016593235,0.8126924735276406,0.9121727649269675,0.9227569699287415,-0.03728172143131506,0.8536989386298564,-19.131924211978912,772.9025303781796,99.99999947157285,1.2,48.307738304138184
128,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7235926389694214,6842661.5,2615.8481416167874,0.7828740272754583,0.8425736757945115,1.0082030296325684,0.003959235497769054,0.8506904196524079,-22.50605672597885,11.710318239093882,-1694.847245796554,1.6,47.894344329833984
128,90,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7218966484069824,6884646.5,2623.8609909825636,0.765467360603049,0.8449725344229932,0.9065671563148499,-0.04509582382304894,0.8508613142736716,-17.419250309467316,7.010268814140928,-712.7363677221214,1.2,51.77473068237305
64,120,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7162012159824371,7025640.5,2650.5924809370454,0.6963594886787374,0.7680693113517123,0.8706158399581909,-0.062447901567894155,0.8528081017554147,-29.036888480186462,21.032392612800507,-1090.844181117763,1.2,56.79048538208008
64,90,1,16,64,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7116597294807434,7138069.0,2671.716489450181,0.814649900558913,0.9054209455177242,0.959131121635437,-0.019725567982087265,0.8459247047795068,-11.517388373613358,0.907421636920717,-1498.5192736733557,1.2,48.81370544433594
128,90,1,48,256,"{0: 0.01, 24: 0.005, 36: 0.001}",0.4,0.7097747325897217,7184733.0,2680.4352258541894,0.8183245467219955,0.9595861409485482,0.904651939868927,-0.046020224446964166,0.85073031871951,-8.879230171442032,768.895410812522,99.99999947157285,1.0,46.45423889160156
256,90,1,32,256,"{0: 0.01, 16: 0.005, 24: 0.001}",0.4,0.7054142653942108,7292680.0,2700.496250691713,0.8521399594660968,0.9996182474200297,0.9875085949897766,-0.006029041066960188,0.8526690438077396,-2.962302044034004,69.13897633906019,-262.29441226431175,1.2,43.17708969116211
128,90,1,16,128,"{0: 0.01, 8: 0.005, 12: 0.001}",0.4,0.7027212977409363,7359346.0,2712.8114567732127,0.8051954428896777,0.8905404458516841,1.0179615020751953,0.00866921835717635,0.8398600427132457,-12.393854558467865,-15.826808028891328,-2165.7630439378077,1.2,50.84736824035645
